block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3486493,0.01000000,0.00000000,0.01000000,0.01000000,1,0.01000000
3486537,0.38637138,0.00000000,0.38637138,0.39637138,1,0.38637138
3486543,0.00000000,0.05000000,-0.05000000,0.34637138,1,0.05000000
3486547,0.04954956,0.00000000,0.04954956,0.39592094,1,0.04954956
3511113,0.00000000,0.10000000,-0.10000000,0.29592094,2,0.10000000
3511163,0.00100000,0.00000000,0.00100000,0.29692094,2,0.00100000
3558310,0.00000000,0.00000000,0.00000000,0.29692094,3,0.00000000
3558443,0.00000000,0.00000000,-0.00000000,0.29692094,4,0.00000000
3558461,208.00000000,0.00000000,208.00000000,208.29692094,4,208.00000000
3562089,0.00000000,0.00000000,-0.00000000,208.29692094,5,0.00000000
3563644,0.00000000,106.95180000,-106.95180000,101.34512094,6,106.95180000
3568551,0.00000000,12.00000000,-12.00000000,89.34512094,7,12.00000000
3568695,0.00000000,0.00000000,-0.00000000,89.34512094,8,0.00000000
3569457,800.00000000,0.00000000,800.00000000,889.34512094,8,800.00000000
3569545,33.00000000,0.00000000,33.00000000,922.34512094,8,33.00000000
3570056,804.83000000,0.00000000,804.83000000,1727.17512094,8,804.83000000
3573751,208.00000000,0.00000000,208.00000000,1935.17512094,9,208.00000000
3602709,0.00000000,7.11180000,-7.11180000,1928.06332094,10,7.11180000
3602791,0.00000000,16.90480000,-16.90480000,1911.15852094,11,16.90480000
3604099,0.00000000,5.86000000,-5.86000000,1905.29852094,12,5.86000000
3604552,0.00000000,1.00000000,-1.00000000,1904.29852094,13,1.00000000
3637357,0.00000000,62.00000000,-62.00000000,1842.29852094,14,62.00000000
3637417,0.00000000,18.00000000,-18.00000000,1824.29852094,15,18.00000000
3638416,0.00000000,4.08000000,-4.08000000,1820.21852094,16,4.08000000
3667444,0.00000000,26.82654803,-26.82654803,1793.39197291,17,26.82654803
3676090,0.00000000,500.00000000,-500.00000000,1293.39197291,17,500.00000000
3676100,0.00000000,1.50000000,-1.50000000,1291.89197291,18,1.50000000
3681729,0.00000000,23.00000000,-23.00000000,1268.89197291,19,23.00000000
3682040,0.00000000,12.00000000,-12.00000000,1256.89197291,19,12.00000000
3684001,0.00000000,8.64120000,-8.64120000,1248.25077291,19,8.64120000
3687716,0.00000000,2.00000000,-2.00000000,1246.25077291,19,2.00000000
3696443,666.66666667,0.00000000,666.66666667,1912.91743958,20,666.66666667
3709603,288.00000000,0.00000000,288.00000000,2200.91743958,20,288.00000000
3709865,0.07000000,0.00000000,0.07000000,2200.98743958,21,0.07000000
3718525,0.00010000,0.00000000,0.00010000,2200.98753958,22,0.00010000
3718564,0.01000000,0.00000000,0.01000000,2200.99753958,22,0.01000000
3721209,0.00000000,3.00000000,-3.00000000,2197.99753958,23,3.00000000
3723279,1.00000000,0.00000000,1.00000000,2198.99753958,24,1.00000000
3723329,275000.00000000,0.00000000,275000.00000000,277198.99753958,25,275000.00000000
3792428,0.00000000,1250.00000000,-1250.00000000,275948.99753958,25,1250.00000000
3797386,0.00000000,1250.00000000,-1250.00000000,274698.99753958,25,1250.00000000
3797426,0.00000000,555.77200000,-555.77200000,274143.22553958,25,555.77200000
3802893,0.00000000,650.00000000,-650.00000000,273493.22553958,25,650.00000000
3824931,0.00000000,2.03300000,-2.03300000,273491.19253958,26,2.03300000
3829026,632.60000000,0.00000000,632.60000000,274123.79253958,26,632.60000000
3860511,0.00000000,50.00000000,-50.00000000,274073.79253958,26,50.00000000
3860519,0.00000000,650.00000000,-650.00000000,273423.79253958,26,650.00000000
3896975,49.50000000,0.00000000,49.50000000,273473.29253958,26,49.50000000
3898428,0.00000000,45.40000000,-45.40000000,273427.89253958,26,45.40000000
3898481,0.00000000,5.10000000,-5.10000000,273422.79253958,26,5.10000000
3907157,0.00000000,10.00000000,-10.00000000,273412.79253958,26,10.00000000
3909796,0.00000000,1500.00000000,-1500.00000000,271912.79253958,26,1500.00000000
3947072,0.00000000,33.72000000,-33.72000000,271879.07253958,26,33.72000000
4003210,0.00000000,37.37500000,-37.37500000,271841.69753958,26,37.37500000
4006752,0.00000000,3000.00000000,-3000.00000000,268841.69753958,26,3000.00000000
4038696,0.00000000,100.00000000,-100.00000000,268741.69753958,26,100.00000000
4098818,0.00000000,196.70000000,-196.70000000,268544.99753958,26,196.70000000
4100530,0.00000000,100.00000000,-100.00000000,268444.99753958,26,100.00000000
4160527,0.00000000,25.00000000,-25.00000000,268419.99753958,26,25.00000000
4170580,0.00000000,75.00000000,-75.00000000,268344.99753958,26,75.00000000
4190419,9.00000000,0.00000000,9.00000000,268353.99753958,26,9.00000000
4190428,17.43000000,0.00000000,17.43000000,268371.42753958,26,17.43000000
4190545,0.00000000,34.35114504,-34.35114504,268337.07639454,27,34.35114504
4219454,0.00000000,24.03509336,-24.03509336,268313.04130118,28,24.03509336
4226506,0.00000000,112.75000000,-112.75000000,268200.29130118,29,112.75000000
4241655,0.00000000,2.46110000,-2.46110000,268197.83020118,30,2.46110000
4250944,0.00000000,70.00000000,-70.00000000,268127.83020118,30,70.00000000
4268765,0.00000000,500.00000000,-500.00000000,267627.83020118,30,500.00000000
